Model,Dataset,Trainable_Parameters,FLOPs,Accuracy,Robustness,Speed
resnet_baseline,Clean,51813,3647147008,0.5560792079207921,1.0,0.0031313145703608446
resnet_baseline,Blur_Little,51813,3647147008,0.4598019801980198,0.8268641834627163,0.0028575196879925113
resnet_baseline,Blur_Medium,51813,3647147008,0.3347722772277228,0.6020226479595471,0.0029737939834594725
resnet_baseline,Downsampled,51813,3647147008,0.18297029702970297,0.3290363934192721,0.0027809720653118476
resnet_baseline,Masked,51813,3647147008,0.49386138613861386,0.8881133822377323,0.002892543093992932
resnet_baseline,Noise_Rotation,51813,3647147008,0.48198019801980196,0.8667473826650522,0.002881254451109631
