Model,Trainable_Parameters,FLOPs,Accuracy,Speed,Variant_Accuracy,Variant_Robustness,Variant_Speed
effnet_baseline,129381.0,5801568896.0,0.5560792079207921,0.0031313145703608,0.36597227722772274,0.6888922021768302,0.01074769739396496
resnet_baseline,51813.0,3647147008.0,0.5312475247524753,0.0096115670912336,0.39067722772277225,0.702556797948864,0.0028772166563732398
