Model,Dataset,Accuracy,Robustness
resnet_baseline,Clean,0.5560792079207921,1.0
resnet_baseline,Blur_Little,0.4598019801980198,0.8268641834627163
resnet_baseline,Blur_Medium,0.3347722772277228,0.6020226479595471
resnet_baseline,Downsampled,0.18297029702970297,0.3290363934192721
resnet_baseline,Masked,0.49386138613861386,0.8881133822377323
resnet_baseline,Noise_Rotation,0.48198019801980196,0.8667473826650522
